accuracy,loss,val_accuracy,val_loss,val_precision,val_recall,val_f1,learning_rate
0.6217765212059021,0.1230863481760025,0.6057142615318298,0.11158663034439087,0.0,0.0,0.0,0.0003000000142492354
0.6203438639640808,0.11402460187673569,0.6057142615318298,0.10620623826980591,0.0,0.0,0.0,0.0003000000142492354
0.610315203666687,0.10870825499296188,0.6057142615318298,0.10507410019636154,0.0,0.0,0.0,0.0003000000142492354
0.6174784898757935,0.10630089789628983,0.6057142615318298,0.10332809388637543,0.0,0.0,0.0,0.0003000000142492354
0.6232091784477234,0.10332554578781128,0.6114285588264465,0.10063932090997696,1.0,0.014492753623188406,0.02857142857142857,0.0003000000142492354
0.6275071501731873,0.102159284055233,0.6114285588264465,0.09958282113075256,1.0,0.014492753623188406,0.02857142857142857,0.0003000000142492354
0.6389684677124023,0.09924416244029999,0.6057142615318298,0.09775493294000626,0.0,0.0,0.0,0.0003000000142492354
0.6146131753921509,0.09854477643966675,0.6057142615318298,0.09526898711919785,0.0,0.0,0.0,0.0003000000142492354
0.6174784898757935,0.09496042132377625,0.6057142615318298,0.09420286864042282,0.0,0.0,0.0,0.0003000000142492354
0.6676217913627625,0.09191019833087921,0.6000000238418579,0.09282620996236801,0.0,0.0,0.0,0.0003000000142492354
0.6618911027908325,0.08773953467607498,0.6399999856948853,0.09198476374149323,0.875,0.10144927536231885,0.18181818181818182,0.0003000000142492354
0.7163323760032654,0.08307086676359177,0.691428542137146,0.08927015215158463,0.8,0.2898550724637681,0.425531914893617,0.0003000000142492354
0.7936962842941284,0.07363779842853546,0.7314285635948181,0.08614029735326767,0.84375,0.391304347826087,0.5346534653465347,0.0003000000142492354
0.8409742116928101,0.06680776923894882,0.7942857146263123,0.08859972655773163,0.8113207547169812,0.6231884057971014,0.7049180327868853,0.0003000000142492354
0.8997134566307068,0.05631785839796066,0.7485714554786682,0.09596417099237442,0.7906976744186046,0.4927536231884058,0.6071428571428571,0.0003000000142492354
0.8982807993888855,0.057681988924741745,0.7028571367263794,0.11162899434566498,0.9473684210526315,0.2608695652173913,0.4090909090909091,0.0003000000142492354
0.9183381199836731,0.05228505656123161,0.7028571367263794,0.12312031537294388,0.9473684210526315,0.2608695652173913,0.4090909090909091,0.0003000000142492354
0.9040114879608154,0.05356995388865471,0.7599999904632568,0.09538836032152176,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.0003000000142492354
0.9641833901405334,0.04112124443054199,0.800000011920929,0.09536604583263397,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.0001500000071246177
0.9928366541862488,0.034499071538448334,0.8057143092155457,0.09655091166496277,0.8070175438596491,0.6666666666666666,0.7301587301587301,0.0001500000071246177
1.0,0.03202603757381439,0.8114285469055176,0.0976051315665245,0.8214285714285714,0.6666666666666666,0.736,0.0001500000071246177
1.0,0.031032022088766098,0.8114285469055176,0.10042613744735718,0.8214285714285714,0.6666666666666666,0.736,0.0001500000071246177
1.0,0.03041105344891548,0.8057143092155457,0.10212182253599167,0.8070175438596491,0.6666666666666666,0.7301587301587301,0.0001500000071246177
1.0,0.02995607629418373,0.8057143092155457,0.10338485985994339,0.8070175438596491,0.6666666666666666,0.7301587301587301,7.500000356230885e-05
1.0,0.029624301940202713,0.8057143092155457,0.10427182912826538,0.8070175438596491,0.6666666666666666,0.7301587301587301,7.500000356230885e-05
1.0,0.02922585979104042,0.8057143092155457,0.10641920566558838,0.8070175438596491,0.6666666666666666,0.7301587301587301,7.500000356230885e-05
1.0,0.029063353314995766,0.7942857146263123,0.10854334384202957,0.7796610169491526,0.6666666666666666,0.71875,7.500000356230885e-05
1.0,0.02872825600206852,0.7942857146263123,0.1088152825832367,0.7796610169491526,0.6666666666666666,0.71875,7.500000356230885e-05
