Model,Developer,Git Commit,Date,Python Version,TF Version,Accuracy,Precision,Recall,F1 Score,ROC-AUC,False Positive Rate,False Negative Rate,Inference Time (ms/sample),Parameters
hybrid_model.h5,A Ramanuj Patro,2a84a8b,2026-06-28 03:14:24,3.11.9,2.21.0,0.8889,0.0000,0.0000,0.0000,0.5000,0.0000,1.0000,71.8336,173395
hybrid_model.h5,A Ramanuj Patro,2a84a8b,2026-06-28 03:26:21,3.11.9,2.21.0,0.8889,0.0000,0.0000,0.0000,0.5000,0.0000,1.0000,74.0090,173395
hybrid_model.h5,A Ramanuj Patro,2a84a8b,2026-06-28 03:35:27,3.11.9,2.21.0,0.8889,0.0000,0.0000,0.0000,0.5000,0.0000,1.0000,77.1912,172627
hybrid_model.h5,A Ramanuj Patro,2a84a8b,2026-06-28 03:38:04,3.11.9,2.21.0,0.8889,0.0000,0.0000,0.0000,0.3750,0.0000,1.0000,78.8901,172627
hybrid_model.h5,A Ramanuj Patro,2a84a8b,2026-06-28 03:40:25,3.11.9,2.21.0,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,78.6785,172627
