accuracy,loss,val_accuracy,val_loss,learning_rate
0.6911764740943909,0.6902613639831543,0.8888888955116272,0.7386984825134277,0.0010000000474974513
0.779411792755127,0.6220861077308655,0.8888888955116272,0.7248716354370117,0.0010000000474974513
0.75,0.5532774925231934,0.8888888955116272,0.6952876448631287,0.0010000000474974513
0.779411792755127,0.5084759593009949,0.8888888955116272,0.6644367575645447,0.0010000000474974513
0.779411792755127,0.47783100605010986,0.8888888955116272,0.6310152411460876,0.0010000000474974513
0.8088235259056091,0.40725916624069214,0.8888888955116272,0.5835859179496765,0.0010000000474974513
0.8676470518112183,0.35499662160873413,0.8888888955116272,0.5093634128570557,0.0010000000474974513
0.9558823704719543,0.2670774757862091,0.8888888955116272,0.40014588832855225,0.0010000000474974513
0.9558823704719543,0.19701676070690155,0.8888888955116272,0.4013309180736542,0.0010000000474974513
0.9852941036224365,0.15075290203094482,0.8888888955116272,0.45963770151138306,0.0010000000474974513
0.9852941036224365,0.11957084387540817,0.8888888955116272,0.4866439402103424,0.0010000000474974513
1.0,0.09271224588155746,0.8888888955116272,0.5431475639343262,0.0010000000474974513
1.0,0.08243698626756668,0.8888888955116272,0.5001633167266846,0.0010000000474974513
1.0,0.06785433739423752,0.8888888955116272,0.48780080676078796,0.0005000000237487257
1.0,0.06342910975217819,0.8888888955116272,0.4868893623352051,0.0005000000237487257
1.0,0.056790661066770554,0.8888888955116272,0.5065576434135437,0.0005000000237487257
1.0,0.053951408714056015,0.8888888955116272,0.48736605048179626,0.0005000000237487257
1.0,0.050962675362825394,0.8888888955116272,0.49109962582588196,0.0005000000237487257
1.0,0.05211157724261284,0.8888888955116272,0.4572245180606842,0.0002500000118743628
1.0,0.051525410264730453,0.8888888955116272,0.443017840385437,0.0002500000118743628
1.0,0.05076746270060539,0.8888888955116272,0.44609710574150085,0.0002500000118743628
1.0,0.05071920156478882,0.8888888955116272,0.4448246955871582,0.0002500000118743628
1.0,0.049611009657382965,0.8888888955116272,0.4276841878890991,0.0002500000118743628
